TERM,MEANING,PRONOUNCED_AS
5-FU,5-fluroro-uracile,
5-HTR,5-hydroxytryptamine receptor (récepteur de la sérotonine),
6-MAM,6-monoacétylmorphine,6-mâme
A1At,α-1-antitrypsine,
A5HIA,"acide 5-hydroxyindolacétique (synonyme de 5-HiAA, 5-Hydroxyindoleacetic acid en anglais)",
AAA,anévrisme de l'aorte abdominale,
AAH,allocation aux adultes handicapés,
AAN,anticorps antinucléaire,
AAP,"antiagrégant plaquettaire",
AAV,adeno-associated virus (virus adéno-associé),
ABCDE,"Asymétrie, Bords irréguliers, Couleur inhomogène, Diamètre supérieur à, Évolution (critères du mélanome)",
ABCDEF,procédure ABCDEF de traitement des urgences extrahospitalières,
ACG,autocontrôle de la glycémie,
ACI,artère carotide interne,
ACM,artère cérébrale moyenne,
ACOMI,artériopathie chronique oblitérante des membres inférieurs,acomi
ACPA,anticorps dirigés contre les protéines citrullinées,
ACR,arrêt cardiorespiratoire,
ACSOS,agressions cérébrales secondaires d'origine systémique,ack-sauce
ACT,artemisinin-based combination therapy (thérapie combinée à base d'artémisinine),
ADAMTS-13,A disintegrin and metalloprotease with thrombospondin type I repeats-13,Adam-T-S-13
ADC,apparent diffusion coefficient (coefficient de diffusion apparent),
ADK,adénocarcinome,
ADL,Activities of Daily Living (activités de la vie quotidienne),
ADMD,Association pour le droit de mourir dans la dignité,
ADO,antidiabétiques oraux,
AEEH,allocation d'éducation de l'enfant handicapé,
AEG,altération de l'état général,
AEJ,apport énergétique journalier,
AEMO,action éducative en milieu ouvert,
AESP,activité électrique sans pouls,
AET,apport énergétique total,
AFP,alpha-fœtoprotéine,
AGL,acide gras libre,
AGMI,apport en graisses mono-insaturées,
AGPI,acide gras polyinsaturé,
AHAI,anémie hémolytique auto-immune,
AHH,axe hypothalamo-hypophysaire,
AJPP,allocation journalière de présence parentale,
ALR,anesthésie locorégionale,
AME,aide médicale d'État,
AMH,hormone de régression müllérienne,
ANC,apports nutritionnels conseillés,
ANOCA,Angina with No Obstructive Coronary Arteries (angine sans obstruction des artéres coronaires),anoca
AOD,anticoagulant oral direct est synonyme de NACO (nouvel anticoagulant oral),
AOMI,artériopathie oblitérante des membres inférieurs,
APHP,Assistance publique - Hôpitaux de Paris,
APLV,allergie aux protéines du lait de vache,
ARA2,antagoniste des récepteurs de l'angiotensine II,à-rà-deux
ARCF,anomalie du rythme cardiofœtal,
ARDS,syndrome de détresse respiratoire aigüe,
ARNm,ARN messager,
ARV,antirétroviral,
ASE,aide sociale à l'enfance,azeu
ASH,agent des services hospitaliers,
ASIA,score ASIA,azia
ASMR,amélioration du service médical rendu,
ASP,abdomen sans préparation,
ATCD,antécédents,
AUC,area under the curve (aire sous la courbe),
AVB,accouchement par voie basse,
AVCi,AVC ischémique,
AVF,algie vasculaire de la face,
AVP,accident sur la voie publique,
AVQ,activités de la vie quotidienne,
BAT,biopsie de l'artère temporale,
BAVU,ballon autoremplisseur à valve unidirectionnelle,ba-vu
BDA,bouffée délirante aigüe,
BDB,bloc de branche,
BDCA,bronchodilatateur de courte durée d'action,
BDLA,bronchodilatateur de longue durée d'action,
BEPS,brevet européen de premiers secours,
BGSA,biopsies des glandes salivaires accessoires,
BHA,bruits hydroaériques,
BHC,bilan hépatique complet,
BHR,bactéries hautement résistantes,
BHRe,bactéries hautement résistantes émergentes,
BLSE,bêta-lactamase à spectre élargi (ou étendu),
BMI,indice de masse corporelle,
BMR,bactérie multirésistante aux antibiotiques,
BOM,biopsie ostéomédullaire,
BPM,battements par minute,
BREF,batterie rapide d'efficience frontale,bref
BSPP, Brigade des sapeurs-pompiers de Paris,
BU,bandelette urinaire,
C1G,céphalosporine de première génération,
C2G,céphalosporine de deuxième génération,
C3G,céphalosporine troisième génération,
CAARUD,centre d'accueil et d'accompagnement à la réduction des risques pour usagers de drogues,ka-rude
CAFA,crise aigüe par fermeture de l'angle,ka-fa
CAMSP,centre d'action médico-sociale précoce,C-A-M-S-P;came-S-P
CAPTV,centre antipoison et de toxicovigilance,C-A-P-T-V;captévé
CATTP,centre d'accueil thérapeutique à temps partiel,
CBC,carcinome basocellulaire,
CBCT,cone beam computed tomography,
CBD,cannabidiol,
CBNPC,cancer bronchique non à petites cellules,
CCA,"chef de clinique assistant",
CCMH, concentration corpusculaire moyenne en hémoglobine,
CCMR,centre de compétence des maladies rares,
CCP,peptides citrullinés cyclisés,
CEE,choc électrique externe,
CEIO,corps étranger intraoculaire,C-E-I-O;cé-èyo
CEIP-A,centre d'évaluation et d'information sur la pharmacodépendance et centre d'addictovigilance,sais-pas
CEPS,comité économique des produits de santé,
CETD,centre d'évaluation et de traitement de la douleur,
CGH,comparative genomic hybridation (hybridation génomique comparative),
CGR,concentré de globules rouges,
CHATOD,centre d’hébergement et d’activités thérapeutiques et occupationnelles pour personnes âgées désorientées,chat-tod
CHR,centre hospitalier régional,
CHRU,centre hospitalier régional universitaire,
CHU,centre hospitalier universitaire,
CICO,"intubation impossible, oxygénation impossible",si-ko
CID,carotide interne droite,
CIG,carotide interne gauche,
CK,créatine-kinase,
CLAT,centre de lutte antituberculeuse,klatte
CLCC,centre de lutte contre le cancer,
CMA,centre médical des armées,
CMF,chirurgie maxillofaciale,
CMPP,centre médicopsychopédagogique,
CMU,couverture maladie universelle,
CMUc,couverture maladie universelle complémentaire,
CNO,compléments nutritionnels oraux,
CNOM,conseil national de l'ordre des médecins,knomme
CNR,centre national de référence,
COVID,coronavirus disease,ko-vide
COX,cyclooxygénase,koksse
CPP,comité de protection des personnes,
CPS, carte des Professionnels de Santé,
CRA,centre ressources autisme,kra
CRAT,centre de référence sur les agents tératogènes,kratte
CRCC,carcinome rénal à cellules claires,
CRCDC,centre régional de coordination des dépistages des cancers,
CREX,comité de retour d'expérience,krex
CRIP,cellule de recueil des informations préoccupantes,krippe
CRMR,centre de référence maladies rares (synonyme de CCMR et de CMR),
CRO,compte-rendu opératoire,
CRPV,centre régional de pharmacovigilance,
CSAPA,"centre de soins, d'accompagnement et de prévention en addictologie",ksapa
CSH,cellule souche hématopoïétique,
CTF,capacité totale de fixation (du fer par la transferrine),
CVC,circulation veineuse collatérale,
CVF,capacité vitale forcée ou capacité vitale fonctionnelle,
CVO,crise vaso-occlusive,
CVT,capacité vitale totale,
CvO2,contenu veineux en oxygène,
CépiDC,centre d'épidémiologie sur les causes médicales de décès,çépi-D-C
DAAP,double anti-agrégation plaquettaire,dappe
DAE,défibrillateur automatisé externe,
DAI,défibrillateur automatique implantable,
DASRI,déchets d'activité de soins à risque infectieux,dassri
DBS,deep brain stimulation (stimulation cérébrale profonde ou thalamique),
DDAC,donneur décédé après arrêt circulatoire,
DDB,dilatation des bronches,
DDCM,date de dernière consultation médicale,
DEC,déshydratation extracellulaire,
DES,diplôme d'études spécialisées (troisième cycle des études médicales en France),D-E-S;dèsse
DEXA,Dual Energy X-ray Absorptiometry (absorptiométrie biphotonique à rayons X),décsa
DFASM,diplôme de formation approfondie en sciences médicales ( à années d’études de médecine en France),D-F-A-S-M;déf-asthme
DFG,débit de filtration glomérulaire,
DFGSM,diplôme de formation générale en sciences médicales ( et années d’études de médecine en France),
DFT,démence frontotemporale ou déficit fonctionnel temporaire,
DGS,direction générale de la santé,
DHBNN,dermohypodermite bactérienne non nécrosante (anciennement érysipèle),
DI,dérivations frontales sur l'électrocardiogramme,D-un
DICV,déficit immunitaire commun variable,
DII,dérivations frontales sur l'électrocardiogramme,D-deux
DIII,dérivations frontales sur l'électrocardiogramme,D-trois
DLCO,diffusion libre du CO,
DLFT,dégénérescence lobaire frontotemporale,
DMARD,traitement de fond antirhumatismal,D-marre;D-marde
DMP,dossier médical partagé,
DMU,dispositif médical à usage unique,
DPI,diagnostic préimplantatoire,
DT1,diabète de type 1,
DT2,diabète de type 2,
DTP,"vaccin combiné contre la diphtérie, le tétanos et la poliomyélite",
DVE,dérivation ventriculaire externe,
DXM,dexaméthasone,
EAL,exploration d'une anomalie lipidique,
ECBC,examen cytobactériologique des crachats,
ECN,épreuves classantes nationales,
ECR,essai contrôlé randomisé,
ECT,"électroconvulsivothérapie",
EDC,épisodes dépressifs caractérisés,
EDM,épisode dépressif majeur,
EDN,examen dématérialisé national,
EFR,épreuve fonctionnelle respiratoire,
EFS,établissement français du sang,
EGFR,récepteur du facteur de croissance épidermique,
EIAS,évènement indésirable associé aux soins ou épine iliaque antérosupérieure,
EMDR,eye movement desensitization and reprocessing (intégration neuro-émotionnelle par les mouvements oculaires),
EMPP,équipe mobile psychiatrie précarité,
EMSP,équipe mobile en soins palliatifs,
ENMG,électroneuromyogramme,
EOGD,endoscopie œso-gastro-duodénale,
